DATAFLOW,REF_AREA,COMMODITY,TRANSACTION,UNIT,TIME_PERIOD,OBS_VALUE,ESTIMATE,FOOTNOTES,UNIT_MULT,Commodity name,Transaction name,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B01_01,HSO,2006,1605.6378,N,,0, Primary coal and peat, Primary production,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B01_01,HSO,2007,345.884,N,,0, Primary coal and peat, Primary production,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B01_01,HSO,2008,86.471,N,,0, Primary coal and peat, Primary production,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B01_01,HSO,2009,1383.536,N,,0, Primary coal and peat, Primary production,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B01_01,HSO,2010,0,N,,0, Primary coal and peat, Primary production,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B01_01,HSO,2011,0,N,,0, Primary coal and peat, Primary production,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B01_01,HSO,2012,1269.8884,N,,0, Primary coal and peat, Primary production,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B01_01,HSO,2013,4350.7266,N,,0, Primary coal and peat, Primary production,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B01_01,HSO,2014,3928.254,N,,0, Primary coal and peat, Primary production,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B01_01,HSO,2015,4051.784,N,,0, Primary coal and peat, Primary production,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B01_01,HSO,2016,8103.568,N,,0, Primary coal and peat, Primary production,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B01_01,HSO,2017,19700.1444,N,,0, Primary coal and peat, Primary production,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B01_01,HSO,2018,29007.36401,N,,0, Primary coal and peat, Primary production,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B01_01,HSO,2019,24616.93487,N,,0, Primary coal and peat, Primary production,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B01_01,HSO,2020,27195.20362,N,,0, Primary coal and peat, Primary production,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B02_03,HSO,1990,0,N,,0, Primary coal and peat, Imports,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B02_03,HSO,1991,0,N,,0, Primary coal and peat, Imports,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B02_03,HSO,1992,0,N,,0, Primary coal and peat, Imports,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B02_03,HSO,1993,0,N,,0, Primary coal and peat, Imports,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B02_03,HSO,1994,0,N,,0, Primary coal and peat, Imports,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B02_03,HSO,2007,1852.95,N,,0, Primary coal and peat, Imports,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B02_03,HSO,2008,3088.25,N,,0, Primary coal and peat, Imports,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B02_03,HSO,2009,2692.954,N,,0, Primary coal and peat, Imports,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B02_03,HSO,2010,3532.958,N,,0, Primary coal and peat, Imports,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B02_03,HSO,2011,2100.01,N,,0, Primary coal and peat, Imports,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B02_03,HSO,2012,1655.302,N,,0, Primary coal and peat, Imports,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B02_03,HSO,2013,296.472,Y,,0, Primary coal and peat, Imports,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B02_03,HSO,2014,0,N,,0, Primary coal and peat, Imports,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B03_04,HSO,1990,-123.5106,Y,,0, Primary coal and peat, Exports,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B03_04,HSO,1991,-123.5106,Y,,0, Primary coal and peat, Exports,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B03_04,HSO,1992,-123.5106,Y,,0, Primary coal and peat, Exports,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B03_04,HSO,1993,-123.5106,Y,,0, Primary coal and peat, Exports,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B03_04,HSO,1994,-123.5106,Y,,0, Primary coal and peat, Exports,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B03_04,HSO,1995,-222.31908,Y,,0, Primary coal and peat, Exports,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B03_04,HSO,1996,-24.70212,Y,,0, Primary coal and peat, Exports,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B03_04,HSO,1997,0,N,,0, Primary coal and peat, Exports,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B03_04,HSO,1998,-24.70212,N,,0, Primary coal and peat, Exports,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B03_04,HSO,1999,-148.21272,N,,0, Primary coal and peat, Exports,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B03_04,HSO,2000,-148.21272,N,,0, Primary coal and peat, Exports,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B03_04,HSO,2001,-148.21272,N,,0, Primary coal and peat, Exports,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B03_04,HSO,2002,-148.21272,N,,0, Primary coal and peat, Exports,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B03_04,HSO,2003,-222.31908,N,,0, Primary coal and peat, Exports,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B03_04,HSO,2004,-271.72332,N,,0, Primary coal and peat, Exports,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B03_04,HSO,2005,-247.0212,N,,0, Primary coal and peat, Exports,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B03_04,HSO,2006,-148.21272,N,,0, Primary coal and peat, Exports,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B03_04,HSO,2007,-242.1188,N,,0, Primary coal and peat, Exports,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B03_04,HSO,2008,-303.8838,N,,0, Primary coal and peat, Exports,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B03_04,HSO,2009,-158.1184,N,,0, Primary coal and peat, Exports,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B03_04,HSO,2010,-370.59,N,,0, Primary coal and peat, Exports,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B03_04,HSO,2011,-345.884,N,,0, Primary coal and peat, Exports,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B03_04,HSO,2012,-370.59,N,,0, Primary coal and peat, Exports,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B03_04,HSO,2013,-963.534,Y,,0, Primary coal and peat, Exports,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B03_04,HSO,2014,0,N,,0, Primary coal and peat, Exports,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B06_06,HSO,1995,123.5106,N,,0, Primary coal and peat, Stock changes,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B06_06,HSO,1996,1506.82932,N,,0, Primary coal and peat, Stock changes,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B06_06,HSO,1997,3408.89256,N,,0, Primary coal and peat, Stock changes,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B06_06,HSO,1998,321.12756,N,,0, Primary coal and peat, Stock changes,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B06_06,HSO,1999,-1432.72296,N,,0, Primary coal and peat, Stock changes,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B06_06,HSO,2000,-864.5742,N,,0, Primary coal and peat, Stock changes,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B06_06,HSO,2001,666.95724,N,,0, Primary coal and peat, Stock changes,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B06_06,HSO,2002,1432.72296,N,,0, Primary coal and peat, Stock changes,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B06_06,HSO,2003,1926.76536,N,,0, Primary coal and peat, Stock changes,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B06_06,HSO,2004,395.23392,N,,0, Primary coal and peat, Stock changes,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B06_06,HSO,2005,49.40424,N,,0, Primary coal and peat, Stock changes,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B07_GA,HSO,1990,9189.18864,N,,0, Primary coal and peat, Total energy supply,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B07_GA,HSO,1991,9263.295,N,,0, Primary coal and peat, Total energy supply,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B07_GA,HSO,1992,9633.8268,N,,0, Primary coal and peat, Total energy supply,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B07_GA,HSO,1993,9757.3374,Y,,0, Primary coal and peat, Total energy supply,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B07_GA,HSO,1994,9263.295,Y,,0, Primary coal and peat, Total energy supply,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B07_GA,HSO,1995,3655.91376,Y,,0, Primary coal and peat, Total energy supply,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B07_GA,HSO,1996,4643.99856,Y,,0, Primary coal and peat, Total energy supply,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B07_GA,HSO,1997,5360.36004,N,,0, Primary coal and peat, Total energy supply,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B07_GA,HSO,1998,5088.63672,N,,0, Primary coal and peat, Total energy supply,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B07_GA,HSO,1999,3087.765,N,,0, Primary coal and peat, Total energy supply,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B07_GA,HSO,2000,3186.57348,N,,0, Primary coal and peat, Total energy supply,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B07_GA,HSO,2001,3310.08408,N,,0, Primary coal and peat, Total energy supply,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B07_GA,HSO,2002,3359.48832,N,,0, Primary coal and peat, Total energy supply,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B07_GA,HSO,2003,3581.8074,N,,0, Primary coal and peat, Total energy supply,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B07_GA,HSO,2004,2643.12684,N,,0, Primary coal and peat, Total energy supply,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B07_GA,HSO,2005,3482.99892,N,,0, Primary coal and peat, Total energy supply,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B07_GA,HSO,2006,1457.42508,N,,0, Primary coal and peat, Total energy supply,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B07_GA,HSO,2007,1956.7152,N,,0, Primary coal and peat, Total energy supply,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B07_GA,HSO,2008,2870.8372,N,,0, Primary coal and peat, Total energy supply,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B07_GA,HSO,2009,3918.3716,N,,0, Primary coal and peat, Total energy supply,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B07_GA,HSO,2010,3162.368,N,,0, Primary coal and peat, Total energy supply,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B07_GA,HSO,2011,1754.126,N,,0, Primary coal and peat, Total energy supply,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B07_GA,HSO,2012,2554.6004,N,,0, Primary coal and peat, Total energy supply,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B07_GA,HSO,2013,3683.6646,N,,0, Primary coal and peat, Total energy supply,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B07_GA,HSO,2014,3928.254,N,,0, Primary coal and peat, Total energy supply,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B07_GA,HSO,2015,4051.784,N,,0, Primary coal and peat, Total energy supply,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B07_GA,HSO,2016,8103.568,N,,0, Primary coal and peat, Total energy supply,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B07_GA,HSO,2017,19700.1444,N,,0, Primary coal and peat, Total energy supply,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B07_GA,HSO,2018,29007.36401,N,,0, Primary coal and peat, Total energy supply,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B07_GA,HSO,2019,24616.93487,N,,0, Primary coal and peat, Total energy supply,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B07_GA,HSO,2020,27195.20362,N,,0, Primary coal and peat, Total energy supply,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B08_SD,HSO,1990,49.40424,N,,0, Primary coal and peat, Statistical differences,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B08_SD,HSO,1991,-49.40424,Y,,0, Primary coal and peat, Statistical differences,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B08_SD,HSO,1992,74.10636,N,,0, Primary coal and peat, Statistical differences,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B08_SD,HSO,1993,-3.98E-13,Y,,0, Primary coal and peat, Statistical differences,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B08_SD,HSO,1994,-5.68E-13,Y,,0, Primary coal and peat, Statistical differences,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B08_SD,HSO,1995,1.99E-13,Y,,0, Primary coal and peat, Statistical differences,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B08_SD,HSO,1996,-24.70212,Y,,0, Primary coal and peat, Statistical differences,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B08_SD,HSO,1997,-24.70212,Y,,0, Primary coal and peat, Statistical differences,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B08_SD,HSO,1998,1.14E-13,N,,0, Primary coal and peat, Statistical differences,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B08_SD,HSO,1999,-24.70212,N,,0, Primary coal and peat, Statistical differences,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B08_SD,HSO,2000,2.27E-13,N,,0, Primary coal and peat, Statistical differences,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B08_SD,HSO,2001,-4.55E-13,N,,0, Primary coal and peat, Statistical differences,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B08_SD,HSO,2002,-3.41E-13,N,,0, Primary coal and peat, Statistical differences,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B08_SD,HSO,2003,0,N,,0, Primary coal and peat, Statistical differences,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B08_SD,HSO,2004,0,N,,0, Primary coal and peat, Statistical differences,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B08_SD,HSO,2005,-2.27E-13,N,,0, Primary coal and peat, Statistical differences,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B08_SD,HSO,2006,0,N,,0, Primary coal and peat, Statistical differences,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B08_SD,HSO,2007,4.9412,N,,0, Primary coal and peat, Statistical differences,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B08_SD,HSO,2008,4.9412,N,,0, Primary coal and peat, Statistical differences,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B08_SD,HSO,2009,-9.8824,N,,0, Primary coal and peat, Statistical differences,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B08_SD,HSO,2010,0,N,,0, Primary coal and peat, Statistical differences,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B08_SD,HSO,2011,-4.55E-13,N,,0, Primary coal and peat, Statistical differences,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B08_SD,HSO,2012,-4.55E-13,N,,0, Primary coal and peat, Statistical differences,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B08_SD,HSO,2013,2.4706,N,,0, Primary coal and peat, Statistical differences,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B08_SD,HSO,2014,0,N,,0, Primary coal and peat, Statistical differences,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B08_SD,HSO,2015,0,N,,0, Primary coal and peat, Statistical differences,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B08_SD,HSO,2016,9.09E-13,N,,0, Primary coal and peat, Statistical differences,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B08_SD,HSO,2017,3.64E-12,N,,0, Primary coal and peat, Statistical differences,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B08_SD,HSO,2018,9.09E-13,N,,0, Primary coal and peat, Statistical differences,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B08_SD,HSO,2019,-3.64E-12,N,,0, Primary coal and peat, Statistical differences,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B08_SD,HSO,2020,-3.64E-12,N,,0, Primary coal and peat, Statistical differences,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B10_08,HSO,1990,-1309.21236,Y,,0, Primary coal and peat, Transformation,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B10_08,HSO,1991,-1284.51024,Y,,0, Primary coal and peat, Transformation,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B10_08,HSO,1992,-1284.51024,Y,,0, Primary coal and peat, Transformation,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B10_08,HSO,1993,-1358.6166,Y,,0, Primary coal and peat, Transformation,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B10_08,HSO,1994,-1358.6166,Y,,0, Primary coal and peat, Transformation,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B10_08,HSO,1995,-222.31908,Y,,0, Primary coal and peat, Transformation,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B10_08,HSO,1996,-321.12756,Y,,0, Primary coal and peat, Transformation,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B10_08,HSO,1997,-444.63816,Y,,0, Primary coal and peat, Transformation,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B10_08,HSO,1998,-419.93604,Y,,0, Primary coal and peat, Transformation,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B10_08,HSO,1999,-247.0212,N,,0, Primary coal and peat, Transformation,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B10_08,HSO,2000,-247.0212,N,,0, Primary coal and peat, Transformation,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B10_08,HSO,2001,-247.0212,N,,0, Primary coal and peat, Transformation,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B10_08,HSO,2002,-247.0212,N,,0, Primary coal and peat, Transformation,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B10_08,HSO,2003,-271.72332,N,,0, Primary coal and peat, Transformation,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B10_08,HSO,2004,-197.61696,N,,0, Primary coal and peat, Transformation,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B10_08,HSO,2005,-271.72332,N,,0, Primary coal and peat, Transformation,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B10_08,HSO,2016,-3903.548,N,,0, Primary coal and peat, Transformation,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B10_08,HSO,2017,-15353.04958,N,,0, Primary coal and peat, Transformation,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B10_08,HSO,2018,-24484.80718,N,,0, Primary coal and peat, Transformation,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B10_08,HSO,2019,-20017.2212,N,,0, Primary coal and peat, Transformation,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B10_08,HSO,2020,-22735.37532,N,,0, Primary coal and peat, Transformation,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B11_088,HSO,1990,-444.63816,Y,,0, Primary coal and peat," Electricity, Heat and CHP plants",
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B11_088,HSO,1991,-469.34028,Y,,0, Primary coal and peat," Electricity, Heat and CHP plants",
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B11_088,HSO,1992,-469.34028,Y,,0, Primary coal and peat," Electricity, Heat and CHP plants",
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B11_088,HSO,1993,-494.0424,Y,,0, Primary coal and peat," Electricity, Heat and CHP plants",
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B11_088,HSO,1994,-494.0424,Y,,0, Primary coal and peat," Electricity, Heat and CHP plants",
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B11_088,HSO,1995,-222.31908,Y,,0, Primary coal and peat," Electricity, Heat and CHP plants",
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B11_088,HSO,1996,-321.12756,Y,,0, Primary coal and peat," Electricity, Heat and CHP plants",
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B11_088,HSO,1997,-444.63816,Y,,0, Primary coal and peat," Electricity, Heat and CHP plants",
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B11_088,HSO,1998,-419.93604,Y,,0, Primary coal and peat," Electricity, Heat and CHP plants",
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B11_088,HSO,1999,-247.0212,N,,0, Primary coal and peat," Electricity, Heat and CHP plants",
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B11_088,HSO,2000,-247.0212,N,,0, Primary coal and peat," Electricity, Heat and CHP plants",
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B11_088,HSO,2001,-247.0212,N,,0, Primary coal and peat," Electricity, Heat and CHP plants",
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B11_088,HSO,2002,-247.0212,N,,0, Primary coal and peat," Electricity, Heat and CHP plants",
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B11_088,HSO,2003,-271.72332,N,,0, Primary coal and peat," Electricity, Heat and CHP plants",
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B11_088,HSO,2004,-197.61696,N,,0, Primary coal and peat," Electricity, Heat and CHP plants",
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B11_088,HSO,2005,-271.72332,N,,0, Primary coal and peat," Electricity, Heat and CHP plants",
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B11_088,HSO,2016,-3903.548,N,,0, Primary coal and peat," Electricity, Heat and CHP plants",
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B11_088,HSO,2017,-15353.04958,N,,0, Primary coal and peat," Electricity, Heat and CHP plants",
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B11_088,HSO,2018,-24484.80718,N,,0, Primary coal and peat," Electricity, Heat and CHP plants",
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B11_088,HSO,2019,-20017.2212,N,,0, Primary coal and peat," Electricity, Heat and CHP plants",
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B11_088,HSO,2020,-22735.37532,N,,0, Primary coal and peat," Electricity, Heat and CHP plants",
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B11_08811,HSO,1990,-444.63816,Y,,0, Primary coal and peat, Transformation in electricity plants - main activity producers,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B11_08811,HSO,1991,-469.34028,Y,,0, Primary coal and peat, Transformation in electricity plants - main activity producers,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B11_08811,HSO,1992,-469.34028,Y,,0, Primary coal and peat, Transformation in electricity plants - main activity producers,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B11_08811,HSO,1993,-494.0424,Y,,0, Primary coal and peat, Transformation in electricity plants - main activity producers,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B11_08811,HSO,1994,-494.0424,Y,,0, Primary coal and peat, Transformation in electricity plants - main activity producers,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B11_08811,HSO,1995,-222.31908,Y,,0, Primary coal and peat, Transformation in electricity plants - main activity producers,
UNSD:DF_UNData_EnergyBalance(1.0),894,B00_CL,B11_08811,HSO,1996,-321.12756,Y,,0, Primary coal and peat, Transformation in electricity plants - main activity producers,
