OBJECTID,FeatureUID,Label1,Country,FeatureNam,FeatureTyp,DsgAttr01,DsgAttr02,DsgAttr03,DsgAttr04,DsgAttr05,DsgAttr06,DsgAttr08,DsgAttr09,LocOpStat,MemoOther,DsgAttr10,MemoLoc,Latitude,Longitude,LocConfid,LocSource1,InfSource1,OperateNam,OwnerName1,OwnerName2,OwnerName3,OwnerName4,ADM1,DsgAttr07,Comment
11,DZA011,DZA11,Algeria,Ain Mimoun Mine,Mines and Quarries,Industrial,Barite,<null>,N,N,2018,Metric tons,<null>,Assumed Active,<null>,<null>,Khenchela Province,35.41731,6.954522,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Algeria Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Société des Mines de Baryte d'Algérie S.p.A. (SOMIBAR),Entreprise Nationale des Produits Miniers Non Ferreux et des Substances Utiles S.p.A. (ENOF) [100%],<null>,<null>,<null>,Khenchela,35000,
12,DZA012,DZA12,Algeria,Amesmessa Mine,Mines and Quarries,Metal,Gold,<null>,N,N,2018,Kilograms,c,Assumed Active,Capacity is a combination of Amesmessa and Tirek Mines.,DZA115,Tamanrasset Province,21.057402,2.49026,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Algeria Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Entreprise d'Exploitation des Mines d'Or S.p.A. (ENOR),Sonatrach S.p.A. [100%],<null>,<null>,<null>,Tamanghasset,500,
13,DZA013,DZA13,Algeria,Anini Mine,Mines and Quarries,Metal,Iron ore,<null>,N,N,2018,Thousand metric tons,g,Assumed Active,Capacity is in gross weight of ore.,<null>,Setif Province,36.331693,5.219774,A,USGS Global GeoDB,"USGS 2018 Minerals Yearbook, Vol. III, Algeria Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Société des Mines de Fer d'Algérie S.p.A. (SOMIFER),<null>,<null>,<null>,<null>,Sétif,170,
14,DZA014,DZA14,Algeria,Bellara Industrial Zone,Mineral Processing Plants,Metal,Iron and steel,"Steel, crude",N,Y,2018,Thousand metric tons,<null>,Assumed Active,<null>,<null>,Jiel Province,36.745658,6.250409,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Algeria Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Algerian Qatari Steel,Qatar Steel International [49%],IMETAL Group [46%],Fonds National de l’Investissement (FNI) [6%],<null>,Jijel,600,
15,DZA014,<null>,Algeria,Bellara Industrial Zone,Mineral Processing Plants,Metal,Iron and steel,Processed,N,Y,2018,Thousand metric tons,<null>,Assumed Active,<null>,<null>,Jiel Province,36.745658,6.250409,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Algeria Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Algerian Qatari Steel,Qatar Steel International [49%],IMETAL Group [46%],Fonds National de l’Investissement (FNI) [6%],<null>,Jijel,2100,
16,DZA015,DZA15,Algeria,Bethioua,Mines and Quarries,Industrial,Salt,"Crude, solar",N,N,2018,Metric tons,c,Assumed Active,"Capacity is a combination of Bethioua, Oran Province; El Meghaier, El Oued Province; Guergour Lamri, Setif Province; Ouled Zouai, Oum El Bouaghi Province; Sidi Bouziane, Relizane Province.","DZA026, DZA042, DZA080, DZA109",Oran Province,35.709074,-0.285939,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Algeria Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Enterprise Nationale d'Exploitation des Carrières de Sels,Industriels et Domestiques et Commercialisation des Sels (ENASEL) S.p.A. [100%],<null>,<null>,<null>,Oran,400000,
17,DZA016,DZA16,Algeria,Biskra Mine,Mines and Quarries,Industrial,Gypsum,<null>,N,N,2018,Thousand metric tons,c,Assumed Active,"Capacity is a combination of Batn, Bejaia, Biskra, Bouira, Chlef, Ghardaia, Mascara, Medbea, Milla, M'Sila, O.El Bouaghi, Oran, Setif, and Tiara Mines.",DZA076,<null>,34.999147,5.726991,E,"Google Earth, CemNet Global Cement Report","USGS 2018 Minerals Yearbook, Vol. III, Algeria Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",32 private sector units and 13 public sector units,<null>,<null>,<null>,<null>,Biskra,2000,
18,DZA017,DZA17,Algeria,Boucaid Mine,Mines and Quarries,Industrial,Barite,<null>,N,N,2018,Metric tons,<null>,Assumed Active,<null>,<null>,Tissemsilt Province,35.891409,1.61525,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Algeria Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Société des Mines de Baryte d'Algérie S.p.A. (SOMIBAR),Entreprise Nationale des Produits Miniers Non Ferreux et des Substances Utiles S.p.A. (ENOF) [100%],<null>,<null>,<null>,Tissemsilt,20000,
19,DZA018,DZA18,Algeria,Boukhadra Mine,Mines and Quarries,Metal,Iron ore,<null>,N,N,2018,Thousand metric tons,g,Assumed Active,Capacity is in gross weight of ore.,<null>,Tebessa Province,35.756445,8.039509,A,USGS Global GeoDB,"USGS 2018 Minerals Yearbook, Vol. III, Algeria Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Ferphos S.p.A.,Government [100%],<null>,<null>,<null>,Tébessa,525,
20,DZA019,DZA19,Algeria,Chott Marouane Hamraia,Mines and Quarries,Industrial,Salt,"Crude, solar",N,N,2018,Metric tons,<null>,Assumed Active,<null>,<null>,El Oued Province,34.182165,6.341106,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Algeria Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Al Mallahate SARL,<null>,<null>,<null>,<null>,El Oued,40000,
21,DZA020,DZA20,Algeria,Complex CP 1Z,Mineral Processing Plants,Fuel,Methanol,<null>,N,N,2018,Metric tons,<null>,Assumed Active,<null>,<null>,"Arzew, Oran Province",35.80126,-0.213305,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Algeria Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Société Nationale de Pétrochimie S.p.A.,Sonatrach S.p.A. [100%],<null>,<null>,<null>,Oran,113000,
22,DZA021,DZA21,Algeria,Draissa Mine,Mines and Quarries,Industrial,Barite,<null>,N,N,2018,Metric tons,<null>,Construction,Under construction.,<null>,Bechar Province,31.598979,-2.103664,A,Google Earth-115,"USGS 2018 Minerals Yearbook, Vol. III, Algeria Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Société Nationale de la Baryte (BARYTAL) S.p.A.,<null>,<null>,<null>,<null>,Béchar,100000,
23,DZA022,DZA22,Algeria,Edjeleh oilfield,Oil and Gas Fields,Fuel,Petroleum,Crude,N,N,2018,42-gallon barrels per day,c,Assumed Active,"Capacity is a combination of about 50 oilfields, including Acheb; West, Amassak/Tin-Yaguene, Draa; Tamra, Edjeleh, El Borma, El Gassi; Gassi-Touil East, Guellala; Hassi Messaoud North and South; Ohanet North, Rhourde El Baguel; Tin-Fouye Tabankort, and Z","DZA001, DZA023, DZA024, DZA035, DZA045, DZA046, DZA078, DZA106, DZA113, DZA114, DZA117",<null>,27.72486,9.880721,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Algeria Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Sonatrach S.p.A.,<null>,<null>,<null>,<null>,Illizi,1700000,
24,DZA023,DZA23,Algeria,El Borma oilfield,Oil and Gas Fields,Fuel,Petroleum,Crude,N,N,2018,42-gallon barrels per day,c,Assumed Active,"Capacity is a combination of about 50 oilfields, including Acheb; West, Amassak/Tin-Yaguene, Draa; Tamra, Edjeleh, El Borma, El Gassi; Gassi-Touil East, Guellala; Hassi Messaoud North and South; Ohanet North, Rhourde El Baguel; Tin-Fouye Tabankort, and Z","DZA001, DZA022, DZA024, DZA035, DZA045, DZA046, DZA078, DZA106, DZA113, DZA114, DZA117",<null>,31.191308,6.790953,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Algeria Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Sonatrach S.p.A.,<null>,<null>,<null>,<null>,Ouargla,1700000,
25,DZA024,DZA24,Algeria,El Gassi oilfield,Oil and Gas Fields,Fuel,Petroleum,Crude,N,N,2018,42-gallon barrels per day,c,Assumed Active,"Capacity is a combination of about 50 oilfields, including Acheb; West, Amassak/Tin-Yaguene, Draa; Tamra, Edjeleh, El Borma, El Gassi; Gassi-Touil East, Guellala; Hassi Messaoud North and South; Ohanet North, Rhourde El Baguel; Tin-Fouye Tabankort, and Z","DZA001, DZA022, DZA023, DZA035, DZA045, DZA046, DZA078, DZA106, DZA113, DZA114, DZA117",<null>,30.974926,5.75953,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Algeria Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Sonatrach S.p.A.,<null>,<null>,<null>,<null>,Ouargla,1700000,
26,DZA025,<null>,Algeria,Welded tube plant in Annaba Province,Mineral Processing Plants,Metal,Iron and steel,Processed,N,N,2018,Thousand metric tons,c,Assumed Active,Capacity is a combination of welded tube plants in Annaba and Ghardaia Provinces.,DZA116,Annaba Province,36.792212,7.699567,A,Google Earth-9,"USGS 2018 Minerals Yearbook, Vol. III, Algeria Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",EPE ALFAPIPE S.p.A. (IMETAL Group),<null>,<null>,<null>,<null>,Annaba,200,
27,DZA025,<null>,Algeria,"El Hadjar, electric arc furnace plant",Mineral Processing Plants,Metal,Iron and steel,"Steel, crude",N,N,2018,Thousand metric tons,<null>,Assumed Active,Location provided is for one mill in the complex.,<null>,Annaba Province,36.792212,7.699567,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Algeria Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",IMETAL Group,Government [100%],<null>,<null>,<null>,Annaba,400,
28,DZA025,<null>,Algeria,"El Hadjar, seamless tube mill",Mineral Processing Plants,Metal,Iron and steel,Processed,N,N,2018,Thousand metric tons,<null>,Assumed Active,Location provided is for one mill in the complex.,<null>,Annaba Province,36.792212,7.699567,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Algeria Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",EPE SIDER El Hadjar S.p.A. (AIMETAL Group ),<null>,<null>,<null>,<null>,Annaba,700,
29,DZA025,<null>,Algeria,"El Hadjar, bar and wire rod mills",Mineral Processing Plants,Metal,Iron and steel,Processed,N,N,2018,Thousand metric tons,<null>,Assumed Active,Location provided is for one mill in the complex.,<null>,Annaba Province,36.792212,7.699567,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Algeria Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",EPE SIDER El Hadjar S.p.A. (AIMETAL Group ),<null>,<null>,<null>,<null>,Annaba,850,
30,DZA025,<null>,Algeria,"El Hadjar, cold-rolling mill",Mineral Processing Plants,Metal,Iron and steel,Processed,N,N,2018,Thousand metric tons,<null>,Assumed Active,Location provided is for one mill in the complex.,<null>,Annaba Province,36.792212,7.699567,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Algeria Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",EPE SIDER El Hadjar S.p.A. (AIMETAL Group ),<null>,<null>,<null>,<null>,Annaba,1050,
31,DZA025,DZA25,Algeria,El Hadjar,Mineral Processing Plants,Fuel,Coke,<null>,N,N,2018,Metric tons,<null>,Assumed Active,<null>,<null>,Annaba Province,36.792212,7.699567,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Algeria Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",IMETAL S.p.A.,Government [100%],<null>,<null>,<null>,Annaba,1200000,
32,DZA025,<null>,Algeria,"El Hadjar, hot-strip mill",Mineral Processing Plants,Metal,Iron and steel,"Steel, crude",N,N,2018,Thousand metric tons,<null>,Assumed Active,Location provided is for one mill in the complex.,<null>,Annaba Province,36.792212,7.699567,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Algeria Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",IMETAL Group,Government [100%],<null>,<null>,<null>,Annaba,1800,
33,DZA026,DZA26,Algeria,El Meghaier,Mines and Quarries,Industrial,Salt,"Crude, solar",N,N,2018,Metric tons,c,Assumed Active,"Capacity is a combination of Bethioua, Oran Province; El Meghaier, El Oued Province; Guergour Lamri, Setif Province; Ouled Zouai, Oum El Bouaghi Province; Sidi Bouziane, Relizane Province.","DZA015, DZA042, DZA080, DZA109",El Oued Province,34.04199,5.973963,A,Google Earth-4,"USGS 2018 Minerals Yearbook, Vol. III, Algeria Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Enterprise Nationale d'Exploitation des Carrières de Sels,Industriels et Domestiques et Commercialisation des Sels (ENASEL) S.p.A. [100%],<null>,<null>,<null>,El Oued,400000,
34,DZA027,DZA27,Algeria,El Merk oilfield,Oil and Gas Fields,Fuel,Petroleum,Crude,N,N,2018,42-gallon barrels per day,<null>,Assumed Active,<null>,<null>,Illizi Province,30.259589,8.088153,A,Google Earth-11,"USGS 2018 Minerals Yearbook, Vol. III, Algeria Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Sonatrach S.p.A.,Sonatrach S.p.A. [37.7%],Anadarko Petroleum Corp. [18.1%],ConocoPhillips Algeria [16.9%],Eni Oil Algeria [9.1%],Illizi,135000,
35,DZA028,DZA28,Algeria,El Milia Mine,Mines and Quarries,Industrial,Clay,Kaolin,N,N,2018,Metric tons,<null>,Assumed Active,<null>,<null>,Jijel Province,36.841266,6.25448,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Algeria Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Société des Kaolins d'Algérie S.p.A. (SOALKA),Federal White Cement Ltd. [63%],Entreprise Nationale des Produits Miniers Non Ferreux et des Substances Utiles S.p.A. (ENOF) [37%],<null>,<null>,Jijel,50000,
36,DZA029,DZA29,Algeria,Foundry plant at El Harrach,Mineral Processing Plants,Metal,Iron and steel,Processed,N,N,2018,Thousand metric tons,c,Assumed Active,"Capacity is a combination of foundry plants at El Harrach, Algiers Province; Gambetta, Oran Province; Tiaret Province.","DZA030, DZA031",Algiers Province,36.709618,3.132024,A,Google Earth-8,"USGS 2018 Minerals Yearbook, Vol. III, Algeria Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",EPE FONDAL S.p.A. (IMETAL Group),<null>,<null>,<null>,<null>,Algiers,12.5,
37,DZA030,DZA30,Algeria,Foundry plant at Gambetta,Mineral Processing Plants,Metal,Iron and steel,Processed,N,N,2018,Thousand metric tons,c,Assumed Active,"Capacity is a combination of foundry plants at El Harrach, Algiers Province; Gambetta, Oran Province; Tiaret Province.","DZA029, DZA031",Oran Province,35.711066,-0.622276,A,Google Earth-8,"USGS 2018 Minerals Yearbook, Vol. III, Algeria Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",EPE FONDAL S.p.A. (IMETAL Group),<null>,<null>,<null>,<null>,Oran,12.5,
38,DZA031,DZA31,Algeria,Foundry plant at Tiaret Province,Mineral Processing Plants,Metal,Iron and steel,Processed,N,N,2018,Thousand metric tons,c,Assumed Active,"Capacity is a combination of foundry plants at El Harrach, Algiers Province; Gambetta, Oran Province; Tiaret Province.","DZA029, DZA030",Tiaret Province,35.369214,1.323326,A,Google Earth-8,"USGS 2018 Minerals Yearbook, Vol. III, Algeria Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",EPE FONDAL S.p.A. (IMETAL Group),<null>,<null>,<null>,<null>,Tiaret,12.5,
39,DZA032,DZA32,Algeria,Gasfields at Amenas,Oil and Gas Fields,Fuel,Natural gas,Crude,N,N,2018,Million cubic meters,<null>,Assumed Active,Location provided is for one gas field in Amenas.,<null>,Amenas,28.039157,9.550869,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Algeria Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Sonatrach S.p.A.,Sonatrach S.p.A. [49.5%],BP Plc [46%],Sonatrach S.p.A. [4.5%],<null>,Illizi,6270,
40,DZA033,DZA33,Algeria,Gasfields at Ourhoud,Oil and Gas Fields,Fuel,Natural gas,Crude,N,N,2018,Million cubic meters,<null>,Assumed Active,"Location provided is for Complexe pétrolier d'Ourhoud, which is about 145 miles southeast of other gasfields in Ourhoud.",<null>,Ourhoud,30.664066,8.095139,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Algeria Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases","Compañía Española de Petróleos, S.A.U. (CEPSA)","Compañía Española de Petróleos, S.A.U. (CEPSA) [39%]",Sonatrach S.p.A. [36%],Anadarko Petroleum Corp. [9%],Eni S.p.A. [5%],Ouargla,22000,
41,DZA034,DZA34,Algeria,Gasfields at Salah,Oil and Gas Fields,Fuel,Natural gas,Crude,N,N,2018,Million cubic meters,<null>,Assumed Active,Location provided is for one gas field in Salah.,<null>,Salah,27.559037,2.487282,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Algeria Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Sonatrach S.p.A.,Sonatrach S.p.A. [35%],BP Plc [33.15%],Statoil ASA [31.85%],<null>,Tamanghasset,6900,
42,DZA035,DZA35,Algeria,Gassi-Touil East oilfield,Oil and Gas Fields,Fuel,Petroleum,Crude,N,N,2018,42-gallon barrels per day,c,Assumed Active,"Capacity is a combination of about 50 oilfields, including Acheb; West, Amassak/Tin-Yaguene, Draa; Tamra, Edjeleh, El Borma, El Gassi; Gassi-Touil East, Guellala; Hassi Messaoud North and South; Ohanet North, Rhourde El Baguel; Tin-Fouye Tabankort, and Z","DZA001, DZA022, DZA023, DZA024, DZA045, DZA046, DZA078, DZA106, DZA113, DZA114, DZA117",<null>,30.475948,6.478222,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Algeria Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Sonatrach S.p.A.,<null>,<null>,<null>,<null>,Ouargla,1700000,
43,DZA036,<null>,Algeria,GL1K Complex,Oil and Gas Refineries and (or) Petrochemical Complexes,Industrial,Helium,<null>,N,Y,2018,Million cubic meters,c,Assumed Active,Capacity is a combination of GL1K and GNL2K Complexes.,DZA041,Skikda Province,36.877353,6.96045,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Algeria Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Helison Production S.p.A.,Linde AG [50%],Sonatrach S.p.A. [50%],<null>,<null>,Skikda,25,
44,DZA036,DZA36,Algeria,GL1K Complex,Oil and Gas Refineries and (or) Petrochemical Complexes,Fuel,Natural gas,Liquefied,N,Y,2018,Million cubic meters,<null>,Assumed Active,<null>,<null>,Skikda Province,36.877353,6.96045,A,Google Earth,"USGS 2018 Minerals Yearbook, Vol. III, Algeria Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Société Nationale de Raffinage de Pétrole S.p.A. (NAFTEC),<null>,<null>,<null>,<null>,Skikda,6942,
